emoji	AOE/PHOEPBLG
💯	PHOEPBLG/S-Z
💥	PHOEPBLG/PWAOPL
🙏	PHOEPBLG/PRAEU
✌	PHOEPBLG/SR*
🎶	PHOEPBLG/TPHOETS
❤	PHOEPBLG/HART
✅	PHOEPBLG/WHAOEUT/KHEBG/PHARBG
❎	PHOEPBLG/TPHEG/TEUF/SKWAEURD/KROS/PHARBG
☠	PHOEPBLG/SKUL/KROS/PWOEPBS
❓	PHOEPBLG/STP
❗	PHOEPBLG/SKHRAPL
🐳	PHOEPBLG/WHAEUL
👍	PHOEPBLG/THUPLS/UP
👎	PHOEPBLG/THUPLS/TKOUPB
👋	PHOEPBLG/WAF
🖐	PHOEPBLG/HAPBD/SPHRAEU/-D
👌	PHOEPBLG/OBG/HAPBD
🙌	PHOEPBLG/RA*EUFD/HAPBDZ
💪	PHOEPBLG/PHUS/-L
☝	PHOEPBLG/POEUPBT/UP
🙂	PHOEPBLG/SHRAOEUT/SPHAOEUL
🤓	PHOEPBLG/TPHERD
😐	PHOEPBLG/TPHAOU/TRAL/TPAEUS
😉	PHOEPBLG/W*EUPBG
😬	PHOEPBLG/TKPWROPL/AS/-G
😀	PHOEPBLG/TKPWREUPBG
😞	PHOEPBLG/TKEUS/POEUPT/-D
😥	PHOEPBLG/TKEUS/POEUPT/-D/RAOE/HRAOEFD
😌	PHOEPBLG/RE/HREFD
😅	PHOEPBLG/SWET/SHAOEUL
🙁	PHOEPBLG/SHRAOEUT/TPROUPB
😭	PHOEPBLG/SOB
😂	PHOEPBLG/SKWROEU
🤔	PHOEPBLG/THEUG
😎	PHOEPBLG/SUPB/TKPWHRAFS
😴	PHOEPBLG/SHRAOEPG
😱	PHOEPBLG/SKRAOEPL
🙈	PHOEPBLG/SAOE/TPHO/E/SREUL
🔪	PHOEPBLG/TPHAOEUF
🐉	PHOEPBLG/TKRAG/TKPWOPB
☘	PHOEPBLG/SHAPL/ROBG
📈	PHOEPBLG/KHART/W/UP/WARDZ/TREPBD
📉	PHOEPBLG/KHART/W/TKOUPB/WARDZ/TREPBD
